
0,0,41,41,41,41,41,41,41,41,41,STARTER
1,1,41,41,41,41,41,41,41,41,41,ACCON
2,2,41,41,41,41,41,41,41,41,41,FUELPUMP
3,3,41,41,41,41,41,41,41,41,41,COOLINGFAN
4,4,41,41,41,41,41,41,41,41,41,LHEADLAMP
5,5,41,41,41,41,41,41,41,41,41,LBRIGHTS
6,6,41,41,41,41,41,41,41,41,41,RHEADLAMP
7,7,41,41,41,41,41,41,41,41,41,RBRIGHTS
8,8,41,41,41,41,41,41,41,41,41,LEFTBLINKER
9,9,41,41,41,41,41,41,41,41,41,RIGHTBLINKER
10,10,41,41,41,41,41,41,41,41,41,RUNNINGLIGHTS
11,11,41,41,41,41,41,41,41,41,41,RBRAKELIGHT
12,12,41,41,41,41,41,41,41,41,41,LBRAKELIGHT
13,13,41,41,41,41,41,41,41,41,41,BATTERYCHARGER
14,14,41,41,41,41,41,41,41,41,41,DASHHEATER
15,15,41,41,41,41,41,41,41,41,41,BATTERYCOMPHEATER
16,16,41,41,41,41,41,41,41,41,41,CRANKCASEHEATER
17,17,41,41,41,41,41,41,41,41,41,ESTOPSWITCH
18,18,41,41,41,41,41,41,41,41,41,TRAILERBRAKES
19,19,41,41,41,41,41,41,41,41,41,TRLEFTBLINKER
20,20,41,41,41,41,41,41,41,41,41,TRRIGHTBLINKER
21,21,41,41,41,41,41,41,41,41,41,INTRUDERALARM
22,22,41,41,41,41,41,41,41,41,41,LIGHTBAR
23,23,41,41,41,41,41,41,41,41,41,BLINKINDICATE
24,24,41,41,41,41,41,41,41,41,41,BRAKELIGHTS
25,25,41,41,41,41,41,41,41,41,41,BACKUPLIGHTS
26,26,41,41,41,41,41,41,41,41,41,TESTINPUT24
27,27,41,41,41,41,41,41,41,41,41,TESTINPUT25
28,28,41,41,41,41,41,41,41,41,41,TESTINPUT26
29,29,41,41,41,41,41,41,41,41,41,TESTINPUT27
30,30,41,41,41,41,41,41,41,41,41,TESTINPUT28
31,31,41,41,41,41,41,41,41,41,41,TESTINPUT29
32,32,41,41,41,41,41,41,41,41,41,TESTINPUT30
33,33,41,41,41,41,41,41,41,41,41,TESTINPUT31
34,34,41,41,41,41,41,41,41,41,41,TESTINPUT32
35,35,41,41,41,41,41,41,41,41,41,TESTINPUT33
36,36,41,41,41,41,41,41,41,41,41,TESTINPUT34
37,37,41,41,41,41,41,41,41,41,41,TESTINPUT35
38,38,41,41,41,41,41,41,41,41,41,NULL
